date,tour,steame,opp,mag_cote_pct,mag_cote_pct_POSTHOC,mag_proba_pts,mag_proba_pts_POSTHOC,pin_open,pin_close,lead_min,entry_book,entry,soft_close,clv_book_pct,clv_vs_pin_pct,steame_gagne,pnl,uid
2026-09-13,ATP Challenger Genoa,Pedro Martinez,Thiago Seyboth Wild,7.7,5.9,3.1,2.3,2.73,2.57,86.0,unibet,2.55,2.55,0.0,-0.8,non,-1,2026-09-13_thiago_seyboth_wild_pedro_martinez
2026-09-14,ATP Challenger Biella,Mika Petkovic,Felix Gill,7.1,4.9,2.5,1.8,2.83,2.69,677.0,bet365,2.62,2.5,5.0,-2.4,,,2026-09-14_mika_petkovic_felix_gill
2026-09-13,ATP Challenger Biella,Maximo Zeitune,Alex Marti Pujolras,6.9,4.7,3.4,2.4,2.32,2.21,139.0,bwin,2.25,2.0,12.5,1.8,non,-1,2026-09-13_alex_marti_pujolras_maximo_zeitune
2026-09-14,ATP Challenger Rennes,David Jorda Sanchis,Lucas Poullain,6.6,14.8,2.1,5.0,3.32,2.83,803.0,bwin,2.9,2.65,9.4,2.5,,,2026-09-14_david_jorda_sanchis_lucas_poullain
2026-09-13,ATP Challenger Szczecin,Oscar Jose Gutierrez,Santiago Rodriguez Taverna,6.3,5.2,2.3,2.0,2.87,2.72,257.0,888sport,2.75,2.62,4.8,1.1,non,-1,2026-09-13_oscar_jose_gutierrez_santiago_rodriguez_taverna
2026-09-14,ATP Challenger Biella,Pavel Lagutin,Maximilian Marterer,6.3,5.2,3.9,3.1,1.62,1.54,503.0,888sport,1.53,1.53,0.0,-0.5,,,2026-09-14_pavel_lagutin_maximilian_marterer
2026-09-12,ATP Challenger Cassis,Titouan Droguet,Nicolai Budkov Kjaer,6.1,7.0,4.2,4.7,1.61,1.5,37.0,unibet,1.55,1.55,0.0,3.3,oui,0.55,2026-09-12_titouan_droguet_nicolai_budkov_kjaer
2026-09-14,ATP Challenger Szczecin,Tiago Pereira,Rudolf Molleker,6.0,6.0,2.4,2.4,2.52,2.37,376.0,bet365,2.5,2.5,0.0,5.5,,,2026-09-14_tiago_pereira_rudolf_molleker
2026-09-11,ATP Challenger Seville,Genaro Alberto Olivieri,Max Alcala Gurri,5.8,16.1,2.2,7.0,2.74,2.3,583.0,unibet,2.5,2.06,21.4,8.7,non,-1,2026-09-11_max_alcala_gurri_genaro_alberto_olivieri
2026-09-14,ATP Challenger Biella,Jay Clarke,Jonas Forejtek,5.7,5.7,3.4,3.4,1.71,1.62,214.0,unibet,1.67,1.67,0.0,3.3,,,2026-09-14_jay_clarke_jonas_forejtek
2026-09-14,ATP Challenger Phan Thiet 4,Taiyo Yamanaka,Ryuki Matsuda,5.6,5.2,2.2,2.0,2.49,2.36,203.0,bet365,2.5,2.5,0.0,5.9,,,2026-09-14_taiyo_yamanaka_ryuki_matsuda
