uid;date_match;joueurA;joueurB;surf;tournoi;coteA;coteB;probA_modele;probB_modele;evA_pct;evB_pct;marge;zones;psA;psB;mxA;mxB;avA;avB;clv_ps_pct;clv_avg_pct;score_confiance;injury;opp_streak;tourn_spec;elo_a;elo_b;srv_a;srv_b;ret_a;ret_b;trend_elo_a;trend_elo_b;rank_a;rank_b;forme_surf_a;forme_surf_b;forme_5A;forme_5B;clv_closing_60;clv_closing_15;anomalie;resultat;src_resultat
2026-05-31_sorana_cirstea_xiyu_wang;2026-05-31;Sorana Cirstea;Xiyu Wang;Clay;WTA French Open;1.19;4.7;0.9400;0.2380;11.86;11.86;5.31;aucune;1.2;5.09;1.2;5.3;1.182093023255814;4.763488372093022;-0.83;0.67;90;;;;1844.4;1678.7;61.9;55.1;44.7;41.9;57.8;51.4;18;148;4V1D;3V1D;;;-2.44;-2.44;;1;
2026-05-31_jesper_de_jong_alexander_zverev;2026-05-31;Alexander Zverev;Jesper De Jong;Clay;ATP French Open;1.03;6.9;0.8800;0.3700;-9.36;155.30;11.58;aucune;1.05;12.39;1.07;16;1.0425;11.14675;-1.90;-1.20;79;;;;2021.3;1646.5;69.3;63.9;36.6;34.5;44.6;-34.6;3;106;3V2D;0V3D;;;-0.94;-0.94;;1;
2026-05-31_elina_svitolina_belinda_bencic;2026-05-31;Elina Svitolina;Belinda Bencic;Clay;WTA French Open;1.62;2.3;0.4900;0.6000;-20.62;38.00;5.21;B4;1.64;2.38;1.65;2.45;1.6011764705882354;2.324901960784313;-1.22;1.18;75;;;;1988.5;1819.5;60.1;60.4;44.4;43.7;37.1;-23.9;7;11;5V0D;3V2D;;;4.46;5.13;;1;
2026-05-31_jakub_mensik_andrey_rublev;2026-05-31;Andrey Rublev;Jakub Mensik;Clay;ATP French Open;1.77;1.87;0.8100;0.4600;43.37;-13.98;9.97;aucune;1.88;2.01;1.9;2.08;1.8286538461538453;1.9599999999999997;-5.85;-3.21;49;;;;1868.1;1789.4;66.8;66;36.8;36.4;-7.6;-48.5;13;27;3V2D;2V3D;;;2.75;3.89;;0;
2026-05-31_casper_ruud_joao_fonseca;2026-05-31;Casper Ruud;Joao Fonseca;Clay;ATP French Open;1.64;2.3;0.9500;0.2500;55.80;-42.50;4.45;A1+A2+A3+A5;1.68;2.31;1.7;2.35;1.6437254901960796;2.256274509803922;-2.38;-0.23;74;;;;1970.4;1808.1;67;66.8;36.3;36;81.1;58.9;16;30;3V2D;2V3D;;;1.21;1.21;;0;
2026-06-01_aryna_sabalenka_naomi_osaka;2026-06-01;Aryna Sabalenka;Naomi Osaka;Clay;WTA French Open;1.2;3.7;0.7800;0.0500;-6.40;-81.50;10.36;aucune;;;1.26;4.75;1.21075;3.898749999999999;;-0.89;74;;;;2116.4;1850.8;63.9;62.1;44;43;6.3;14.7;1;16;3V2D;3V2D;;;-0.82;-0.82;;1;
2026-06-01_flavio_cobolli_zachary_svajda;2026-06-01;Flavio Cobolli;Zachary Svajda;Clay;ATP French Open;1.13;5.8;0.5800;0.3200;-34.46;85.60;5.74;B3+B4;1.15;6.13;1.17;7;1.1361818181818184;5.909454545454545;-1.74;-0.54;68;;;;1847.5;1532.9;63.6;63.4;36.4;32.1;11.6;0.8;14;85;2V3D;1V2D;;;0.88;0.88;;1;
2026-06-01_felix_auger-aliassime_alejandro_tabilo;2026-06-01;Felix Auger-Aliassime;Alejandro Tabilo;Clay;ATP French Open;1.56;2.39;0.6200;0.1700;-3.28;-59.37;5.94;aucune;1.59;2.5;1.61;2.68;1.5595348837209302;2.4293023255813964;-1.89;0.03;14;;;;;1793.4;;67;;34.3;;13.6;;36;;2V3D;;;0.00;0.00;;1;
2026-06-01_juan_manuel_cerundolo_matteo_berrettini;2026-06-01;Matteo Berrettini;Juan Manuel Cerundolo;Clay;ATP French Open;1.61;2.27;0.4650;0.3100;-25.13;-29.63;6.16;aucune;1.64;2.38;1.67;2.46;1.6146153846153848;2.3128846153846148;-1.83;-0.29;36;;;;1755.9;1726.9;66.8;61.1;33.8;37.9;-25.6;-30.4;105;56;2V3D;1V4D;;;-0.61;-0.61;;1;
2026-06-01_frances_tiafoe_matteo_arnaldi;2026-06-01;Frances Tiafoe;Matteo Arnaldi;Clay;ATP French Open;1.74;2.07;0.5700;0.5300;-0.82;9.71;5.78;aucune;1.8;2.11;1.84;2.16;1.7533962264150942;2.0684905660377346;-3.33;-0.76;46;;;;1802.1;1756.4;65.6;61.1;35.1;33.3;29.1;-18.4;22;104;2V3D;2V3D;;;-7.69;-7.69;;0;
