date,uid,joueur,book,prix_signale,cloture,ecart_annonce,clv,source,exclu,gele_le
2026-08-05T12:00,2026-08-05_raphael_collignon_alexei_popyrin,Alexei Popyrin,betfair-ex,2.58,2.52,3.6,2.4,hist,exchange,2026-08-16
2026-08-05T13:40,2026-08-05_daniil_medvedev_botic_van_de_zandschulp,Botic Van de Zandschulp,betfair-ex,3.95,4.4,3.0,-10.2,hist,exchange,2026-08-16
2026-08-05T15:20,2026-08-05_alexander_zverev_tallon_griekspoor,Tallon Griekspoor,betfair-ex,6.8,6.8,3.5,0.0,hist,exchange,2026-08-16
2026-08-05T16:20,2026-08-05_thiago_agustin_tirante_taylor_fritz,Thiago Agustin Tirante,betfair-ex,5.9,6.0,5.3,-1.7,hist,exchange,2026-08-16
2026-08-05T17:20,2026-08-05_rafael_jodar_corentin_moutet,Corentin Moutet,betfair-ex,3.85,3.9,2.7,-1.3,hist,exchange,2026-08-16
2026-08-06T08:00,2026-08-06_luciano_darderi_juncheng_shang,Juncheng Shang,betfair-ex,1.88,1.92,2.1,-2.1,hist,exchange,2026-08-16
2026-08-06T12:35,2026-08-06_brandon_nakashima_titouan_droguet,Titouan Droguet,betfair-ex,3.7,4.5,2.8,-17.8,hist,exchange,2026-08-16
