date,uid,joueur,book,prix_signale,cloture,ecart_annonce,clv,source,exclu,match_id,gele_le
2026-08-14T08:56,2026-08-14_titouan_droguet_matteo_berrettini,Titouan Droguet,bet365.fr,2.54,2.03,11.8,25.1,live,,id1200298373721798,2026-08-16
2026-08-14T08:56,2026-08-14_titouan_droguet_matteo_berrettini,Titouan Droguet,bet365,2.625,2.1,15.5,25.0,live,,id1200298373721798,2026-08-16
2026-08-14T08:56,2026-08-14_titouan_droguet_matteo_berrettini,Titouan Droguet,winamax.fr,2.45,2.1,7.8,16.7,live,,id1200298373721798,2026-08-16
2026-08-14T08:56,2026-08-14_coleman_wong_daniel_altmaier,Coleman Wong,1xbet,1.746,1.585,5.5,10.2,live,,id1200298373721780,2026-08-16
2026-08-14T08:56,2026-08-14_coleman_wong_daniel_altmaier,Coleman Wong,coolbet,1.741,1.629,5.2,6.9,live,,id1200298373721780,2026-08-16
2026-08-14T09:46,2026-08-14_titouan_droguet_matteo_berrettini,Titouan Droguet,bet365.fr,2.42,2.03,12.4,19.2,live,,id1200298373721798,2026-08-16
2026-08-14T09:46,2026-08-14_titouan_droguet_matteo_berrettini,Titouan Droguet,bet365,2.5,2.1,16.1,19.0,live,,id1200298373721798,2026-08-16
2026-08-14T09:46,2026-08-14_titouan_droguet_matteo_berrettini,Titouan Droguet,winamax.fr,2.45,2.1,13.8,16.7,live,,id1200298373721798,2026-08-16
2026-08-14T11:41,2026-08-14_kyrian_jacquet_adolfo_daniel_vallejo,Kyrian Jacquet,bet365,1.571,1.444,7.0,8.8,live,,id1200298373721800,2026-08-16
2026-08-14T12:06,2026-08-14_valentin_royer_stefanos_tsitsipas,Valentin Royer,bet365,4.0,4.0,7.0,0.0,live,,id1200298373667536,2026-08-16
2026-08-14T15:36,2026-08-14_xinyu_wang_hanne_vandewinkel,Xinyu Wang,winamax.fr,2.05,2.05,5.2,0.0,live,,id1200836373722024,2026-08-16
2026-08-15T11:41,2026-08-15_quentin_halys_alex_de_minaur,Quentin Halys,coolbet,3.6,3.15,6.4,14.3,live,,id1200298373465894,2026-08-16
2026-08-15T12:11,2026-08-15_arthur_fery_james_duckworth,James Duckworth,bet365,2.2,2.0,7.4,10.0,live,,id1200298373465892,2026-08-16
2026-08-15T13:51,2026-08-15_adolfo_daniel_vallejo_valentin_vacherot,Adolfo Daniel Vallejo,bwin,3.4,2.6,18.3,30.8,live,,id1200298373465886,2026-08-16
2026-08-16T08:47,2026-08-16_joao_fonseca_botic_van_de_zandschulp,Botic Van de Zandschulp,betway,3.5,3.2,5.0,9.4,live,,botic-van-zandschulp_vs_fonseca-joao@2026-08-16,2026-08-16
2026-08-17T06:46,2026-08-17_alexander_zverev_terence_atmane,Terence Atmane,22bet,6.45,5.8,3.8,11.2,live,,alexander-zverev_vs_atmane-terence@2026-08-17,2026-08-18
2026-08-17T06:46,2026-08-17_alexander_zverev_terence_atmane,Terence Atmane,1xbet,6.63,5.97,6.7,11.1,live,,alexander-zverev_vs_atmane-terence@2026-08-17,2026-08-18
2026-08-17T16:36,2026-08-17_alexander_zverev_terence_atmane,Terence Atmane,coolbet,6.0,6.0,3.9,0.0,live,,alexander-zverev_vs_atmane-terence@2026-08-17,2026-08-18
2026-08-22T05:13,2026-08-22_flavio_cobolli_arthur_fils,Flavio Cobolli,sharpbet,3.41,3.19,5.9,6.9,live,,arthur-fils_vs_cobolli-flavio@2026-08-22,2026-08-23
2026-08-22T05:13,2026-08-22_flavio_cobolli_arthur_fils,Flavio Cobolli,bet365,3.4,3.2,5.5,6.2,live,,arthur-fils_vs_cobolli-flavio@2026-08-22,2026-08-23
2026-08-22T09:17,2026-08-22_felix_balshaw_luca_pow,Luca Pow,bet365,4.0,3.4,18.2,17.6,live,,balshaw-felix_vs_luca-pow@2026-08-22,2026-08-23
2026-08-22T09:17,2026-08-22_felix_balshaw_luca_pow,Luca Pow,bet365.fr,3.8,3.25,12.3,16.9,live,,balshaw-felix_vs_luca-pow@2026-08-22,2026-08-23
2026-08-22T09:17,2026-08-22_felix_balshaw_luca_pow,Luca Pow,leovegas,3.55,3.05,4.9,16.4,live,,balshaw-felix_vs_luca-pow@2026-08-22,2026-08-23
2026-08-22T10:37,2026-08-22_hubert_hurkacz_moez_echargui,Moez Echargui,bet365,10.0,7.0,17.6,42.9,live,,echargui-moez_vs_hubert-hurkacz@2026-08-22,2026-08-23
2026-08-22T10:37,2026-08-22_hubert_hurkacz_moez_echargui,Moez Echargui,bet365.fr,9.0,6.3,5.8,42.9,live,,echargui-moez_vs_hubert-hurkacz@2026-08-22,2026-08-23
2026-08-22T14:37,2026-08-22_hunter_heck_mees_rottgering,Hunter Heck,bet365,5.5,5.5,13.3,0.0,live,,heck-hunter_vs_mees-rottgering@2026-08-22,2026-08-23
2026-08-22T14:37,2026-08-22_hunter_heck_mees_rottgering,Hunter Heck,bet365.fr,5.2,5.2,7.2,0.0,live,,heck-hunter_vs_mees-rottgering@2026-08-22,2026-08-23
2026-08-22T14:37,2026-08-22_hunter_heck_mees_rottgering,Hunter Heck,williamhill,5.0,5.0,3.0,0.0,live,,heck-hunter_vs_mees-rottgering@2026-08-22,2026-08-23
2026-08-23T14:43,2026-08-24_mayar_sherif_ahmed_abdelaziz_oleksandra_oliynykova,Oleksandra Oliynykova,4casters,2.195,1.935,7.7,13.4,live,,abdelaziz-ahmed-mayar-sherif_vs_oleksandra-oliynykova@2026-08-24,2026-08-24
2026-08-23T14:43,2026-08-24_mayar_sherif_ahmed_abdelaziz_oleksandra_oliynykova,Oleksandra Oliynykova,1xbet,2.1,1.9,3.0,10.5,live,,abdelaziz-ahmed-mayar-sherif_vs_oleksandra-oliynykova@2026-08-24,2026-08-24
2026-08-23T14:43,2026-08-24_mayar_sherif_ahmed_abdelaziz_oleksandra_oliynykova,Oleksandra Oliynykova,williamhill,2.15,2.1,5.5,2.4,live,,abdelaziz-ahmed-mayar-sherif_vs_oleksandra-oliynykova@2026-08-24,2026-08-24
2026-08-24T00:33,2026-08-24_mayar_sherif_ahmed_abdelaziz_oleksandra_oliynykova,Oleksandra Oliynykova,williamhill,2.1,2.1,7.5,0.0,live,,abdelaziz-ahmed-mayar-sherif_vs_oleksandra-oliynykova@2026-08-24,2026-08-24
2026-08-24T07:59,2026-08-24_ivan_ivanov_ryan_peniston,Ivan Ivanov,sbobet,1.75,1.6,4.6,9.4,live,,ivan-ivanov_vs_peniston-ryan@2026-08-24,2026-08-25
2026-08-24T07:59,2026-08-24_marko_topo_miguel_damas,Marko ToPo,1xbet,1.48,1.37,3.2,8.0,live,,damas-miguel_vs_marko-topo@2026-08-24,2026-08-25
2026-08-24T07:59,2026-08-24_marko_topo_miguel_damas,Marko ToPo,sbobet,1.5,1.41,4.6,6.4,live,,damas-miguel_vs_marko-topo@2026-08-24,2026-08-25
2026-08-24T07:59,2026-08-24_marko_topo_miguel_damas,Marko ToPo,bet365,1.533,1.533,6.9,0.0,live,,damas-miguel_vs_marko-topo@2026-08-24,2026-08-25
2026-08-24T07:59,2026-08-24_ivan_ivanov_ryan_peniston,Ivan Ivanov,bet365,1.727,1.727,3.3,0.0,live,,ivan-ivanov_vs_peniston-ryan@2026-08-24,2026-08-25
2026-08-24T08:07,2026-08-24_marko_topo_miguel_damas,Marko ToPo,1xbet,1.48,1.37,3.2,8.0,live,,damas-miguel_vs_marko-topo@2026-08-24,2026-08-25
2026-08-24T08:07,2026-08-24_marko_topo_miguel_damas,Marko ToPo,22bet,1.48,1.37,3.2,8.0,live,,damas-miguel_vs_marko-topo@2026-08-24,2026-08-25
2026-08-24T08:07,2026-08-24_marko_topo_miguel_damas,Marko ToPo,bet365,1.533,1.533,6.9,0.0,live,,damas-miguel_vs_marko-topo@2026-08-24,2026-08-25
2026-08-24T08:07,2026-08-24_ivan_ivanov_ryan_peniston,Ivan Ivanov,bet365,1.727,1.727,3.3,0.0,live,,ivan-ivanov_vs_peniston-ryan@2026-08-24,2026-08-25
2026-08-24T09:09,2026-08-24_mark_ceban_michele_ribecai,Michele Ribecai,leovegas,1.7,1.56,4.3,9.0,live,,ceban-mark_vs_michele-ribecai@2026-08-24,2026-08-25
